employee_id,full_name,gender,birth_date,hire_date,department,position,salary,bonus,experience_years,projects_completed,city,email,phone,performance_score,last_promotion_date,vacation_days_used,education_level,certifications,team_size
EMP07615,Zakharova Vera,Female,1995-04-07,2015-11-18 14:02:20.160038,Производство,Director,653000.0,65899.64,10.7,24.0,Москва,vera_zakharova@yandex.ru,+7 (936) 673-55-15,4.3,2023-11-18 14:02:20.160038,17.0,MBA,2.0,32.0
EMP09095,Mikhailova Irina,Female,1978-03-23,2012-12-19 14:02:20.271575,Производство,Manager,364000.0,34755.58,13.6,58.0,Санкт-Петербург,,89251194714,4.2,,2.0,Магистр,5.0,
EMP00636,Nikitina Tatyana,Female,2002-06-25,2021-07-13 14:02:18.449113,Продажи,Senior,,15610.48,5.0,11.0,Москва,tatyana_nikitina@yandex.ru,+7 (900) 271-41-55,3.5,,9.0,Бакалавр,3.0,0.0
EMP03755,Stepanova Valentina,Female,1975-01-03,2014-04-15 14:02:19.612059,Маркетинг,Manager,284000.0,25520.69,12.2,53.0,Саратов,,,,,8.0,Кандидат наук,,8.0
EMP05245,Golubev Ilya,Male,1978-04-23,2017-10-31 14:02:19.847768,Маркетинг,Manager,308000.0,32052.34,8.7,,Иркутск,ilya704@yandex.ru,+79679028564,3.9,,25.0,Магистр,4.0,14.0
EMP04787,Belyaev Konstantin,Male,2002-03-17,2025-11-06 14:02:19.765283,Продажи,Junior,24000.0,1109.51,0.6,7.0,Иркутск,konstantin.belyaev@yandex.ru,,,,16.0,Среднее,0.0,0.0
EMP03460,Sorokin Yuriy,Male,1976-05-05,2023-01-15 14:02:19.572114,Продажи,Middle,73000.0,4970.64,3.4,11.0,Уфа,yuriy980@yandex.ru,+79469479119,3.7,,5.0,Бакалавр,1.0,0.0
EMP02084,Sokolova Kseniya,Female,1990-07-16,2016-06-25 14:02:18.955924,Производство,Director,432000.0,49819.98,10.0,13.0,Ростов-на-Дону,kseniya_sokolova@yandex.ru,8 (911) 544-92-33,4.4,2021-06-25 14:02:18.955924,5.0,Магистр,2.0,
EMP03453,Fedorov Ivan,Male,1984-11-27,2013-07-09 14:02:19.571160,IT,Director,604000.0,77401.91,13.0,38.0,Воронеж,fedorov476@yandex.ru,+7 (905) 729-68-75,4.8,,5.0,Магистр,,
EMP06006,Semenova Maria,Female,2003-10-07,2023-05-20 14:02:19.956422,Производство,Middle,78000.0,4004.34,3.2,4.0,Москва,semenova_maria@yandex.ru,89377251491,2.9,2026-05-19 14:02:19.956422,26.0,,0.0,0.0
EMP08644,Nikolaeva Tatyana,Female,1993-10-04,2023-04-29 14:02:20.246650,Юридический,Senior,155000.0,9544.47,3.1,21.0,Хабаровск,tnikolaeva@yandex.ru,89569022552,3.4,,20.0,Магистр,,0.0
EMP09857,Makarov Stanislav,Male,1996-09-12,2024-05-23 14:02:20.315043,Производство,Senior,184000.0,14096.35,2.1,9.0,Москва,makarovs@yandex.ru,+7 (945) 856-45-67,3.5,2026-05-23 14:02:20.315043,12.0,Магистр,3.0,
EMP06914,Egorov Oleg,Male,1971-02-27,2024-01-29 14:02:20.071976,Консалтинг,Senior,215000.0,14281.5,2.4,5.0,Москва,oleg_egorov@yandex.ru,8 (985) 373-17-89,3.2,,23.0,MBA,1.0,
EMP01637,Petrov Roman,Male,2003-06-06,2023-03-07 14:02:18.742778,IT,Middle,97000.0,5155.28,3.4,6.0,,petrov206@yandex.ru,,3.2,2026-03-06 14:02:18.742778,,Бакалавр,1.0,0.0
EMP09851,Egorov Grigoriy,Male,2004-01-24,2024-04-08 14:02:20.314714,Продажи,Middle,74000.0,5356.84,2.3,3.0,Саратов,gegorov@yandex.ru,+7 (968) 941-18-14,3.6,2025-04-08 14:02:20.314714,0.0,Бакалавр,1.0,0.0
EMP07936,Novikova Anastasiya,Female,1970-06-16,2020-04-06 14:02:20.189873,Продажи,Lead,184000.0,18769.82,6.2,9.0,Тюмень,novikova965@yandex.ru,89382703271,4.4,,13.0,Бакалавр,3.0,13.0
EMP07138,Ivanov Nikolay,Male,1982-04-24,2019-03-28 14:02:20.100563,Логистика,Lead,210000.0,21075.34,7.3,26.0,Екатеринбург,ivanov882@yandex.ru,89991260873,4.2,,18.0,Магистр,1.0,41.0
EMP02410,Kuznetsov Dmitry,Male,1990-03-17,2023-12-08 14:02:19.079295,HR,Senior,150000.0,11347.55,2.6,7.0,Москва,kuznetsov161@yandex.ru,+7 (928) 924-28-46,3.3,2025-12-07 14:02:19.079295,20.0,Магистр,5.0,0.0
EMP01766,Egorova Kseniya,Female,1966-09-08,2023-07-09 14:02:18.793491,Производство,Middle,103000.0,8521.29,2.9,5.0,Москва,kseniya_egorova@yandex.ru,8 (984) 703-94-22,3.4,,8.0,Магистр,2.0,0.0
EMP05674,Vasilieva Lyudmila,Female,1971-06-23,2023-11-09 14:02:19.921829,Логистика,Senior,143000.0,8166.02,2.6,,Нижний Новгород,vasilieva.lyudmila@yandex.ru,8 (940) 995-81-18,,,17.0,MBA,3.0,0.0
EMP01040,Alekseev Petr,Male,2004-01-16,2025-01-07 14:02:18.565227,IT,Junior,28000.0,1664.76,1.5,5.0,Воронеж,alekseev.petr@yandex.ru,89395759893,,,5.0,Среднее,,0.0
EMP06201,Kuznetsova Aleksandra,Female,1985-12-04,2021-10-26 14:02:19.981361,Продажи,Senior,204000.0,16862.48,4.6,19.0,Москва,aleksandra.kuznetsova@yandex.ru,,3.8,,1.0,MBA,3.0,0.0
EMP00736,Kuznetsova Nadezhda,Female,1973-07-07,2025-12-21 14:02:18.473532,Логистика,Middle,114000.0,10431.63,0.6,5.0,Москва,nadezhda516@yandex.ru,89264565431,3.7,,15.0,Кандидат наук,2.0,
EMP03515,Morozova Irina,Female,2004-04-17,2024-06-07 14:02:19.587475,IT,Middle,80000.0,3895.97,2.1,3.0,Уфа,morozova710@yandex.ru,,3.1,2025-06-07 14:02:19.587475,4.0,Бакалавр,1.0,
EMP02392,Andreev Alexey,Male,1993-11-04,2015-08-15 14:02:19.073136,Маркетинг,Junior,51000.0,3358.19,10.8,,Москва,alexey.andreev@yandex.ru,8 (946) 951-58-94,3.3,2024-08-14 14:02:19.073136,25.0,Бакалавр,0.0,0.0
EMP08394,Alekseev Andrey,Male,1994-01-27,2017-07-28 14:02:20.232525,HR,Manager,345000.0,29487.22,9.0,29.0,Москва,andrey_alekseev@yandex.ru,+7 (991) 152-60-36,3.8,2024-07-27 14:02:20.232525,1.0,Магистр,1.0,17.0
EMP07619,Novikov Nikolay,Male,1979-02-15,2015-07-14 14:02:20.160446,Продажи,Director,488000.0,55601.7,10.9,30.0,Казань,,,4.2,,24.0,MBA,5.0,14.0
EMP00932,Golubev Stanislav,Male,1980-06-26,2020-10-08 14:02:18.538837,Финансы,Senior,261000.0,18704.93,5.8,29.0,Москва,stanislav.golubev@yandex.ru,8 (972) 690-96-78,3.4,2025-10-08 14:02:18.538837,23.0,MBA,1.0,0.0
EMP04449,Sokolova Polina,Female,1999-09-27,2023-11-22 14:02:19.733520,Производство,Middle,96000.0,5087.97,2.6,7.0,Москва,,+7 (954) 857-76-25,,2024-11-21 14:02:19.733520,8.0,Бакалавр,1.0,0.0
EMP00219,Nikolaev Grigoriy,Male,1993-09-20,2014-07-28 14:02:18.305194,,Director,574000.0,,11.9,24.0,Челябинск,grigoriy_nikolaev@yandex.ru,+79695763519,4.1,,27.0,Магистр,5.0,10.0
EMP05035,Sidorov Maxim,Male,1976-05-04,2016-03-28 14:02:19.804070,Логистика,Manager,341000.0,51646.08,10.3,33.0,Казань,msidorov@yandex.ru,+7 (965) 721-47-64,4.6,,9.0,Кандидат наук,2.0,39.0
EMP03222,Taraseva Svetlana,Female,1985-09-26,2016-12-23 14:02:19.417806,Маркетинг,Manager,439000.0,40155.12,9.5,23.0,Москва,staraseva@yandex.ru,8 (990) 210-39-15,3.9,2018-12-23 14:02:19.417806,25.0,Магистр,1.0,25.0
EMP06312,Kuznetsova Kseniya,Female,1999-07-02,2019-09-16 14:02:19.992636,Производство,Lead,154000.0,16772.89,6.8,17.0,Пермь,kseniya_kuznetsova@yandex.ru,,4.3,2022-09-15 14:02:19.992636,9.0,Магистр,5.0,7.0
EMP05191,Tarasev Vladimir,Male,1982-06-25,2011-09-24 14:02:19.842170,HR,Manager,316000.0,40803.14,14.7,65.0,Санкт-Петербург,vladimir.tarasev@yandex.ru,+79811114512,4.8,,27.0,Магистр,4.0,
EMP09583,Stepanova Ekaterina,Female,1978-08-01,2014-01-14 14:02:20.299495,IT,Manager,400000.0,54845.78,12.4,34.0,,stepanova_ekaterina@yandex.ru,+7 (993) 541-28-11,4.3,,0.0,MBA,4.0,25.0
EMP07864,Sokolov Yuriy,Male,1966-06-15,2012-04-21 14:02:20.183297,HR,Manager,394000.0,35228.25,14.2,62.0,Москва,yuriy_sokolov@yandex.ru,,4.1,,22.0,Магистр,2.0,
EMP06549,Tarasev Nikolay,Male,1971-07-23,2022-03-28 14:02:20.033928,Маркетинг,Lead,208000.0,17519.87,4.3,17.0,Ростов-на-Дону,nikolay185@yandex.ru,89353586110,4.0,,22.0,Магистр,3.0,28.0
EMP07950,Mikhailov Sergey,Male,1988-02-23,2014-03-06 14:02:20.191208,R&D,Manager,376000.0,59740.03,12.4,28.0,Пермь,sergey31@yandex.ru,8 (905) 528-46-47,4.9,,24.0,,3.0,14.0
EMP06903,Nikolaev Dmitry,Male,1967-09-04,2020-04-20 14:02:20.070913,IT,Senior,202000.0,13177.9,6.2,15.0,Нижний Новгород,dmitry.nikolaev@yandex.ru,8 (903) 450-55-45,3.4,,,Магистр,5.0,0.0
EMP00750,Taraseva Anastasiya,Female,1992-02-27,2013-07-27 14:02:18.477095,IT,Junior,79000.0,7037.11,13.0,33.0,Москва,taraseva_anastasiya@yandex.ru,8 (995) 415-27-95,3.8,2019-07-27 14:02:18.477095,,Бакалавр,2.0,
EMP03587,Sidorov Vasiliy,Male,1989-02-10,2022-07-26 14:02:19.595521,Продажи,Senior,173000.0,10774.31,3.9,,Новосибирск,sidorovv@yandex.ru,0000000000,3.1,2023-07-26 14:02:19.595521,28.0,MBA,2.0,
EMP04832,Ivanova Irina,Female,1988-10-05,2020-02-24 14:02:19.770319,Производство,Senior,108000.0,8312.33,6.4,33.0,Краснодар,irina.ivanova@yandex.ru,8 (948) 757-37-84,3.4,,14.0,Бакалавр,5.0,0.0
EMP01967,Sorokin Petr,Male,1970-10-11,2020-09-07 14:02:18.906940,IT,Senior,245000.0,16349.4,5.9,17.0,,petr.sorokin@yandex.ru,+79577398513,3.6,,27.0,Кандидат наук,3.0,0.0
EMP00011,Sorokina Ekaterina,Female,1996-03-14,,HR,Junior,36000.0,1191.99,0.8,0.0,Омск,ekaterina.sorokina@yandex.ru,+7 (939) 940-39-38,2.8,,11.0,MBA,2.0,0.0
EMP02623,Fedorov Oleg,Male,1972-05-21,2017-11-19 14:02:19.148103,,Lead,403000.0,41755.17,8.7,25.0,Москва,oleg.fedorov@yandex.ru,,3.9,,20.0,,1.0,31.0
EMP01600,Makarova Darya,Female,1996-08-28,2015-02-15 14:02:18.714053,HR,,314000.0,43809.46,11.3,24.0,Екатеринбург,makarova.darya@yandex.ru,+79602443286,4.8,2017-02-14 14:02:18.714053,19.0,Магистр,3.0,32.0
EMP06001,Mikhailov Daniil,Male,1984-09-26,2011-09-23 14:02:19.955950,Продажи,Manager,444000.0,43384.26,14.8,66.0,Екатеринбург,,+7 (984) 811-19-26,4.2,2013-09-22 14:02:19.955950,4.0,MBA,3.0,
EMP09011,Egorov Roman,Male,2004-01-06,2022-11-06 14:02:20.267008,Продажи,Middle,73000.0,7005.66,3.6,16.0,Екатеринбург,egorovr@yandex.ru,не указан,3.9,,6.0,Бакалавр,1.0,0.0
EMP05997,Belyaeva Viktoriya,Female,1988-04-08,2015-12-14 14:02:19.955478,Производство,Director,334000.0,42165.76,10.6,29.0,Челябинск,vbelyaeva@yandex.ru,8 (952) 454-68-25,4.7,,11.0,Магистр,5.0,26.0
EMP00261,Andreev Nikolay,Male,2000-10-06,2023-01-27 14:02:18.325087,IT,Middle,131000.0,13665.09,3.4,15.0,Санкт-Петербург,nikolay.andreev@yandex.ru,89622072595,3.8,2026-01-26 14:02:18.325087,0.0,Магистр,2.0,0.0
EMP04113,Stepanova Olga,Female,1978-07-20,2022-05-01 14:02:19.688048,Маркетинг,,219000.0,21374.55,4.1,22.0,Москва,stepanova337@yandex.ru,89057339411,,2026-05-01 14:02:19.688048,15.0,Кандидат наук,4.0,0.0
EMP03855,Egorov Artem,Male,2003-03-19,2025-12-12 14:02:19.629676,Продажи,Junior,31000.0,1827.63,0.6,8.0,Казань,egorova@yandex.ru,8 (979) 424-79-86,3.3,,15.0,Бакалавр,0.0,0.0
EMP09703,Pavlova Lyudmila,Female,1975-06-15,2012-09-02 14:02:20.306408,R&D,Manager,285000.0,32321.64,13.9,33.0,Омск,pavloval@yandex.ru,8 (905) 765-91-28,4.2,,23.0,Магистр,5.0,41.0
EMP04328,Popova Valentina,Female,1972-06-01,2016-03-02 14:02:19.721103,Продажи,Manager,389000.0,57206.53,10.4,29.0,Саратов,,8 (974) 202-96-23,4.7,,12.0,MBA,1.0,30.0
EMP09587,Kozlova Aleksandra,Female,1970-04-09,2013-09-23 14:02:20.299712,Производство,Manager,258000.0,31868.57,12.7,60.0,Уфа,kozlova689@yandex.ru,89083746425,4.4,2022-09-23 14:02:20.299712,7.0,Магистр,3.0,47.0
EMP05969,Petrova Viktoriya,,1981-09-24,2016-07-28 14:02:19.952841,Производство,Manager,255000.0,23129.6,10.0,25.0,Ростов-на-Дону,petrova.viktoriya@yandex.ru,+7 (958) 382-12-86,4.1,2022-07-28 14:02:19.952841,31.0,Магистр,,7.0
EMP00096,Ivanov Daniil,Male,1979-11-06,2017-03-18 14:02:18.251886,Продажи,Lead,349000.0,25451.34,9.3,38.0,Москва,daniil677@yandex.ru,8 (954) 189-47-94,3.8,2022-03-18 14:02:18.251886,15.0,Магистр,1.0,22.0
EMP03155,Lebedev Mikhail,Male,1980-09-07,2014-12-13 14:02:19.378232,Производство,Junior,41000.0,3418.78,11.5,26.0,Санкт-Петербург,,8 (984) 586-32-38,3.8,,25.0,Бакалавр,1.0,0.0
EMP03539,Nikitin Dmitry,Male,1970-03-03,2014-11-26 14:02:19.589941,Маркетинг,Manager,299000.0,42477.99,11.6,52.0,Челябинск,nikitin.dmitry@yandex.ru,89956372070,4.4,,24.0,Магистр,2.0,24.0
EMP03849,Morozova Lyudmila,Female,1980-08-20,2011-09-16 14:02:19.626885,Продажи,Junior,44000.0,5179.84,14.8,33.0,Красноярск,lyudmila_morozova@yandex.ru,,,2019-09-16 14:02:19.626885,14.0,Бакалавр,0.0,
EMP02310,Egorova Polina,Female,2024-12-27,2018-09-05 14:02:19.044083,HR,Lead,207000.0,19630.67,7.8,23.0,Санкт-Петербург,polina.egorova@yandex.ru,+79117870066,4.2,2022-09-05 14:02:19.044083,8.0,Магистр,2.0,38.0
EMP00908,Semenov Maxim,Male,1988-12-10,2021-06-23 14:02:18.524609,Продажи,Lead,355000.0,26860.17,5.1,29.0,Москва,maxim_semenov@yandex.ru,+7 (987) 978-40-32,3.4,,9.0,MBA,1.0,
EMP01831,Sokolova Nadezhda,Female,1997-12-12,2023-12-14 14:02:18.825220,Логистика,Middle,62000.0,2747.76,2.6,3.0,Пермь,nsokolova@yandex.ru,8 (922) 488-24-25,3.1,2024-12-13 14:02:18.825220,26.0,Бакалавр,,0.0
EMP00827,Stepanova Darya,Female,1969-06-27,2017-07-13 14:02:18.493099,Производство,Manager,328000.0,30672.64,8.9,36.0,Москва,,89536728085,4.0,,24.0,Магистр,2.0,40.0
EMP04452,Taraseva Darya,Female,1975-02-22,2025-06-15 14:02:19.733819,Производство,Junior,43000.0,1592.43,1.1,3.0,Воронеж,darya.taraseva@yandex.ru,89258153692,,,18.0,MBA,1.0,0.0
EMP03342,Lebedeva Maria,,1970-02-28,2021-09-20 14:02:19.516934,Производство,Senior,195000.0,17311.39,4.8,9.0,Москва,lebedeva375@yandex.ru,8 (975) 538-28-12,3.5,2025-09-20 14:02:19.516934,25.0,Магистр,2.0,
EMP07851,Alekseeva Svetlana,Female,1989-01-24,2018-11-04 14:02:20.182202,Продажи,Lead,269000.0,28707.76,7.6,9.0,Москва,alekseeva_svetlana@yandex.ru,89406745614,3.8,,0.0,Бакалавр,1.0,3.0
EMP03712,Kuznetsov Yuriy,Male,2001-09-26,2020-09-29 14:02:19.607921,Продажи,Lead,168000.0,14743.91,5.8,11.0,Тюмень,,,4.0,2025-09-29 14:02:19.607921,1.0,Среднее,2.0,43.0
EMP08188,Zakharov Daniil,Male,1991-05-21,2019-11-18 14:02:20.215758,IT,Lead,274000.0,29369.24,6.6,26.0,Саратов,daniil_zakharov@yandex.ru,+7 (902) 905-37-80,,,12.0,MBA,3.0,
EMP00352,Egorova Irina,Female,2004-10-13,2022-10-07 14:02:18.348699,Продажи,Middle,71000.0,4960.24,3.7,16.0,Уфа,egorova810@yandex.ru,8 (993) 829-87-68,3.5,2025-10-06 14:02:18.348699,,Бакалавр,1.0,0.0
EMP00617,Semenov Sergey,Male,1980-09-06,2023-08-18 14:02:18.440280,Финансы,Middle,123000.0,9027.03,2.9,17.0,Новосибирск,ssemenov@yandex.ru,,3.6,2024-08-17 14:02:18.440280,18.0,MBA,0.0,
EMP02140,Volkova Aleksandra,,1969-06-05,2017-06-17 14:02:18.991078,Финансы,Manager,282000.0,,9.0,34.0,Челябинск,volkova812@yandex.ru,,4.6,2022-06-17 14:02:18.991078,5.0,Магистр,3.0,35.0
EMP00111,Fedorova Alina,Female,1991-06-09,2025-05-06 14:02:18.253355,IT,Middle,129000.0,11238.39,1.2,12.0,Москва,fedorova.alina@yandex.ru,+7 (952) 136-81-80,3.7,,10.0,Магистр,1.0,0.0
EMP04368,Volkova Natalya,Female,1966-06-04,2023-12-16 14:02:19.725757,Логистика,Middle,83000.0,5011.5,2.6,12.0,Пермь,volkova.natalya@yandex.ru,8 (929) 872-93-68,3.4,,0.0,Кандидат наук,0.0,0.0
EMP03974,Egorov Yuriy,Male,1997-02-14,2017-10-13 14:02:19.654423,Продажи,Manager,352000.0,34348.28,8.8,15.0,Хабаровск,egorovy@yandex.ru,8 (962) 397-39-92,4.1,,11.0,Магистр,1.0,
EMP02011,Morozov Dmitry,Male,1980-05-26,2024-07-07 14:02:18.925334,Продажи,Senior,170000.0,14520.25,2.0,7.0,Санкт-Петербург,dmorozov@yandex.ru,89359577677,3.9,,18.0,Магистр,,0.0
EMP06517,Volkov Evgeniy,Male,1999-02-03,2024-10-04 14:02:20.030964,IT,Junior,45000.0,2110.28,1.8,5.0,Казань,volkov_evgeniy@yandex.ru,89928542815,2.9,,23.0,Магистр,2.0,
EMP04754,Volkov Andrey,Male,1974-05-26,2022-05-13 14:02:19.762246,IT,Senior,162000.0,12510.6,4.2,21.0,Саратов,volkova@yandex.ru,,,2023-05-13 14:02:19.762246,6.0,Кандидат наук,5.0,0.0
EMP05931,Tarasev Nikolay,Male,1972-03-27,2022-06-23 14:02:19.949511,Продажи,Senior,200000.0,13526.38,4.0,7.0,Москва,,+7 (977) 813-78-61,3.6,2023-06-23 14:02:19.949511,23.0,Магистр,2.0,0.0
EMP05644,Vasilieva Ekaterina,Female,1972-04-01,2015-02-14 14:02:19.918417,Юридический,Junior,47000.0,2616.88,11.4,41.0,Нижний Новгород,,89537975263,3.3,,17.0,Бакалавр,2.0,0.0
EMP00945,Orlova Valentina,Female,1985-09-02,2020-01-23 14:02:18.544795,Производство,Senior,169000.0,22284.3,6.5,29.0,Новосибирск,valentina.orlova@yandex.ru,8 (902) 397-89-55,4.2,,10.0,MBA,2.0,0.0
EMP01024,Makarova Ekaterina,Female,1981-11-19,2022-12-12 14:02:18.563737,Логистика,Middle,57000.0,4482.21,3.5,,Иркутск,makarovae@yandex.ru,+7 (985) 239-50-64,3.5,,8.0,Бакалавр,,0.0
EMP00842,Ivanov Stanislav,Male,1989-06-28,2022-11-07 14:02:18.497191,Логистика,Senior,110000.0,,3.6,18.0,Самара,ivanov_stanislav@yandex.ru,89285131780,3.1,2023-11-07 14:02:18.497191,4.0,Магистр,3.0,0.0
EMP05432,Novikov Andrey,Male,1988-08-01,2020-11-03 14:02:19.890365,Продажи,Lead,292000.0,36086.48,5.6,17.0,Москва,anovikov@yandex.ru,+7 (954) 362-12-66,4.3,2022-11-03 14:02:19.890365,5.0,Магистр,4.0,36.0
EMP00701,Sorokin Dmitry,Male,1982-01-04,2018-01-16 14:02:18.465499,Продажи,Lead,247000.0,23137.33,8.5,43.0,Казань,sorokin628@yandex.ru,+79973649973,3.6,,0.0,Магистр,2.0,50.0
EMP07171,Golubev Grigoriy,Male,1977-03-14,2013-11-08 14:02:20.103823,Продажи,Manager,333000.0,52103.84,12.6,35.0,Тюмень,golubev.grigoriy@yandex.ru,+7 (930) 724-97-92,4.8,2014-11-08 14:02:20.103823,19.0,Магистр,4.0,27.0
EMP03075,Smirnova Irina,Female,1993-01-24,2024-07-04 14:02:19.334425,Продажи,Middle,68000.0,3520.07,2.0,4.0,Пермь,smirnova.irina@yandex.ru,89184484253,3.2,,21.0,Бакалавр,1.0,
EMP00102,Mikhailov Grigoriy,Male,1993-08-10,2016-02-21 14:02:18.252494,Маркетинг,Manager,356000.0,53931.58,10.3,39.0,Хабаровск,mikhailov.grigoriy@yandex.ru,,4.7,,20.0,,2.0,
EMP02524,Pavlova Darya,Female,1995-05-08,2023-07-17 14:02:19.121489,IT,Senior,149000.0,15435.32,2.9,5.0,Воронеж,pavlova_darya@yandex.ru,89703507938,3.9,,3.0,Бакалавр,4.0,0.0
EMP05470,Orlov Mikhail,Male,,2025-08-01 14:02:19.899814,IT,Junior,40000.0,1255.67,0.9,9.0,Воронеж,orlov.mikhail@yandex.ru,8 (919) 887-20-97,2.6,,,Магистр,0.0,0.0
EMP00408,Golubev Daniil,Male,2006-05-09,2025-09-25 14:02:18.376632,Маркетинг,Middle,69000.0,2643.64,0.8,1.0,Москва,dgolubev@yandex.ru,+7 (913) 380-68-45,2.9,,3.0,,0.0,0.0
EMP06268,Makarov Andrey,,1987-09-11,2012-04-15 14:02:19.988247,Производство,Director,466000.0,61984.06,14.2,,Екатеринбург,makarova@yandex.ru,,4.3,,,MBA,4.0,32.0
EMP00532,Morozova Natalya,Female,1971-11-20,,Производство,Senior,143000.0,17603.28,6.3,20.0,Иркутск,,+7 (904) 863-64-67,4.1,2025-03-01 14:02:18.415740,11.0,Магистр,3.0,
EMP02768,Nikitina Polina,Female,1972-04-08,2020-06-17 14:02:19.190085,R&D,Lead,281000.0,25647.71,6.0,11.0,Уфа,polina432@yandex.ru,89552836294,3.8,2024-06-17 14:02:19.190085,6.0,MBA,3.0,48.0
EMP07335,Novikova Yuliya,Female,1995-04-21,2018-06-10 14:02:20.131184,,Lead,462000.0,40498.12,8.0,40.0,,yuliya.novikova@yandex.ru,8 (998) 883-37-80,3.9,,27.0,MBA,,4.0
EMP04282,Orlov Roman,,1998-02-08,2021-04-01 14:02:19.716709,Производство,Lead,150000.0,15109.45,5.2,18.0,Красноярск,,89716249675,3.8,,12.0,Бакалавр,5.0,11.0
EMP08307,Sorokin Alexey,Male,2006-06-25,2024-12-31 14:02:20.227328,IT,Junior,38000.0,2260.48,1.5,0.0,Хабаровск,alexey_sorokin@yandex.ru,8 (950) 984-91-93,3.0,,9.0,Бакалавр,1.0,0.0
EMP07443,Kuznetsova Nadezhda,Female,1984-10-02,2016-10-11 14:02:20.143004,IT,Lead,309000.0,42091.17,9.7,46.0,Красноярск,kuznetsovan@yandex.ru,,4.6,2018-10-11 14:02:20.143004,1.0,MBA,2.0,45.0
EMP02634,Nikitin Petr,Male,2000-12-16,2024-12-11 14:02:19.149217,Финансы,Junior,40000.0,2488.05,1.6,10.0,Екатеринбург,pnikitin@yandex.ru,89683627555,,,17.0,Бакалавр,0.0,
EMP06432,Sokolova Darya,Female,1969-04-03,2013-04-07 14:02:20.022509,,Junior,66000.0,4735.28,13.3,23.0,Москва,dsokolova@yandex.ru,+79996354266,3.5,,12.0,Бакалавр,,0.0
